dist	m1	ra	m2	iota	dec
4.823326029999999776e+01	5.504154859371038100e+00	2.260921000000000181e+00	3.583367186018897144e+00	3.723575000000000079e-01	-1.927378999999999898e-01
3.561376349999999746e+01	5.196192977023159187e+00	2.322606899999999808e+00	3.795027069905719141e+00	8.892003000000000545e-01	-8.792160000000000253e-02
4.082180939999999936e+01	4.573523735648919342e+00	2.306088700000000102e+00	4.291365219654168506e+00	7.247107999999999883e-01	-1.193453000000000014e-01
2.457232429999999823e+01	4.641487557930334518e+00	2.261252799999999841e+00	4.225861377216660664e+00	1.011697199999999963e+00	-2.722353000000000134e-01
1.990711440000000110e+01	6.311094043752799365e+00	2.276479399999999931e+00	3.144221763614885479e+00	1.230760899999999936e+00	-2.041792000000000051e-01
1.695079559999999930e+01	5.906168761471325190e+00	2.305296199999999907e+00	3.341236610505805338e+00	1.296866800000000097e+00	-1.625060999999999867e-01
4.918451400000000007e+01	4.675400854321258848e+00	2.324753100000000128e+00	4.193355805278685899e+00	6.770106999999999653e-01	-3.207560000000000272e-02
3.131042109999999923e+01	4.574228901453090579e+00	2.339539400000000047e+00	4.292449997203118706e+00	1.134553900000000004e+00	3.047600000000000135e-03
2.629706219999999917e+01	4.558868007248906729e+00	2.329592299999999838e+00	4.297483942392887890e+00	1.140945300000000051e+00	-1.705699999999999925e-02
3.043037759999999992e+01	4.979747143645792740e+00	2.335068000000000144e+00	3.935517074460131326e+00	1.085444599999999982e+00	-1.796170000000000058e-02
4.043889769999999828e+01	5.013923362092815417e+00	2.351497600000000077e+00	3.923522384491025417e+00	7.782531000000000310e-01	-7.951299999999999688e-03
2.556475920000000102e+01	4.970183888741743772e+00	2.178650300000000151e+00	3.951232076177521257e+00	8.625315999999999539e-01	-3.820890000000000120e-01
2.696747179999999844e+01	4.932726835785778974e+00	2.201935100000000034e+00	3.985713821308661142e+00	8.926558999999999466e-01	-3.499322999999999739e-01
4.743342260000000010e+01	4.736449113973304925e+00	2.327190700000000056e+00	4.157136864712698276e+00	7.067900000000000293e-01	-6.435680000000000567e-02
5.061355939999999975e+01	4.634047577504000870e+00	2.325998799999999811e+00	4.239530254016986355e+00	6.382533999999999708e-01	-1.027858999999999995e-01
5.368973489999999771e+01	5.640046644722064073e+00	2.292030899999999871e+00	3.488949774565003104e+00	2.408170000000000033e-01	-1.495416999999999996e-01
5.496424530000000175e+01	5.419691144274279893e+00	2.279581400000000091e+00	3.634622647219864611e+00	1.655047000000000046e-01	-1.281837999999999866e-01
2.703364279999999908e+01	5.962440623967058428e+00	2.224891299999999905e+00	3.306371279018448739e+00	8.722362000000000171e-01	-3.076910999999999952e-01
4.421318569999999681e+01	6.126284201156251719e+00	2.211659299999999995e+00	3.223963799771098593e+00	2.828627000000000224e-01	-3.376658000000000159e-01
3.934400970000000086e+01	5.878587470147894400e+00	2.201414300000000157e+00	3.356233727111680665e+00	2.882275000000000253e-01	-3.740247999999999906e-01
4.047193719999999928e+01	5.250941806901924913e+00	2.220633499999999927e+00	3.747548858921279979e+00	1.848071000000000019e-01	-3.532116000000000144e-01
3.317644150000000280e+01	5.472135733806974045e+00	2.184170599999999851e+00	3.595313564097325276e+00	4.229631999999999836e-01	-3.906791000000000014e-01
2.915681670000000025e+01	4.867232229861664372e+00	2.166176300000000055e+00	4.037746831891287691e+00	6.170860999999999708e-01	-4.013589000000000184e-01
3.422515520000000322e+01	5.769694799138352259e+00	2.272420799999999907e+00	3.426705978752334403e+00	1.015512100000000029e+00	-1.855923999999999907e-01
2.331143450000000072e+01	6.223694388748401529e+00	2.308510599999999968e+00	3.181024179874578639e+00	1.166243399999999930e+00	-1.599422000000000066e-01
2.387759859999999890e+01	6.199588451478845741e+00	2.302664099999999880e+00	3.194105465057544890e+00	1.099304400000000070e+00	-1.644063000000000052e-01
3.170616240000000019e+01	5.150856154064184622e+00	2.224770299999999867e+00	3.809509340929560839e+00	6.909323000000000548e-01	-3.368348999999999926e-01
4.151086999999999705e+01	4.847739539097891459e+00	2.235773399999999800e+00	4.052144038707671037e+00	6.203691000000000066e-01	-3.157898000000000094e-01
2.531824290000000133e+01	4.887731250908016634e+00	2.231500099999999875e+00	4.014833770673980062e+00	9.572220000000000173e-01	-3.148059999999999747e-01
2.576308119999999846e+01	4.754383253938147647e+00	2.214414899999999964e+00	4.128124005771280025e+00	9.575839999999999907e-01	-3.436642999999999781e-01
4.198927929999999975e+01	4.718911173102164902e+00	2.222771999999999970e+00	4.150515962846422546e+00	1.240018999999999982e-01	-3.267952000000000079e-01
3.245515559999999766e+01	4.495972321192300392e+00	2.200355399999999850e+00	4.354860834724894048e+00	8.749698999999999671e-01	-3.475547999999999971e-01
5.037560369999999921e+01	4.780583853917315551e+00	2.224060800000000171e+00	4.106230392958269526e+00	3.464336000000000082e-01	-3.229313999999999796e-01
2.946184009999999986e+01	4.549342184208909678e+00	2.191845900000000125e+00	4.317424453539651985e+00	6.760734000000000465e-01	-3.453817000000000137e-01
3.733167939999999874e+01	4.977316081260773295e+00	2.199635999999999925e+00	3.954376587045234981e+00	4.431468000000000074e-01	-3.319373999999999936e-01
4.029560680000000161e+01	5.185570898451559607e+00	2.221557400000000015e+00	3.787434680025600464e+00	4.050949999999999829e-01	-2.967814999999999759e-01
3.716705619999999755e+01	5.450825732672281987e+00	2.216563600000000189e+00	3.615587216738850973e+00	5.075617000000000045e-01	-3.006968999999999892e-01
3.588240590000000196e+01	5.594142871109393234e+00	2.234863400000000055e+00	3.523684583625927846e+00	6.583407000000000009e-01	-2.973117000000000121e-01
3.551677699999999760e+01	5.474267799844812821e+00	2.215700599999999909e+00	3.608395918447727890e+00	6.441795999999999633e-01	-3.173143999999999965e-01
3.753725419999999957e+01	5.260438806458624939e+00	2.187854699999999930e+00	3.749921162632091853e+00	1.763697999999999932e-01	-3.772942000000000240e-01
2.970791799999999938e+01	5.341009995637246099e+00	2.161407399999999868e+00	3.685680381507386638e+00	7.965337000000000112e-01	-4.074656999999999862e-01
2.827197380000000138e+01	5.339229884248716473e+00	2.164659700000000075e+00	3.686675766084093198e+00	8.314036999999999678e-01	-4.047328000000000037e-01
3.121006240000000176e+01	4.638972502673580856e+00	2.256882800000000078e+00	4.237299646173585010e+00	8.169965000000000144e-01	-2.705220999999999876e-01
5.636928360000000282e+01	5.451018809101705109e+00	2.318131199999999836e+00	3.598959399547954074e+00	2.062060000000000004e-01	-1.225207999999999992e-01
3.401753080000000296e+01	5.082957382918464440e+00	2.121227999999999891e+00	3.866341367402164053e+00	3.212725000000000164e-01	-4.043598999999999943e-01
2.807340250000000026e+01	5.335455051567290496e+00	2.181226600000000015e+00	3.682817056982508497e+00	7.179510999999999532e-01	-4.108315000000000161e-01
3.652987379999999717e+01	4.663284047866258497e+00	2.247811700000000190e+00	4.211027569022474104e+00	8.829061999999999744e-01	-1.991128000000000065e-01
3.419373829999999970e+01	5.191525062094570764e+00	2.183459099999999875e+00	3.785351698690673228e+00	3.352557999999999927e-01	-3.835716000000000125e-01
5.153840280000000007e+01	4.960111465921080764e+00	2.350985600000000009e+00	3.965575388245935695e+00	6.629726000000000230e-01	1.405709999999999946e-02
4.313484809999999925e+01	5.655038290462178097e+00	2.236471599999999782e+00	3.458703416501879513e+00	2.423231999999999886e-01	-2.888970000000000149e-01
1.825385490000000033e+01	5.033022897793568262e+00	2.292324199999999923e+00	3.900140780333793522e+00	1.398512299999999930e+00	-7.282009999999999872e-02
2.659591969999999961e+01	4.759803668044018110e+00	2.306975299999999951e+00	4.128991171741446031e+00	1.089528000000000052e+00	-8.495840000000000336e-02
3.358894829999999843e+01	5.001072474828208492e+00	2.174552799999999841e+00	3.934743301638090607e+00	5.903696000000000499e-01	-4.049447999999999936e-01
4.058120699999999914e+01	5.233655631789045692e+00	2.197069100000000219e+00	3.762617389126329925e+00	2.437029000000000001e-01	-3.952984999999999971e-01
3.752122669999999971e+01	5.054671810795941411e+00	2.162577100000000030e+00	3.881657880622038093e+00	1.529796999999999962e-01	-4.003917000000000170e-01
5.178451239999999700e+01	5.212216194790343593e+00	2.341151200000000099e+00	3.764333943239454694e+00	5.648197999999999830e-01	-9.390969999999999873e-02
