simulation_id,mass,mchirp,distance
14355,2.3858944,1.0273926,106.99759
860,2.9824027,1.2951286,57.168843
4620,3.4702716,1.5096855,70.295444
1581,2.4095494,1.0483668,143.69368
17603,2.3322923,1.0088113,135.73275
2372,2.9182754,1.2586382,60.173155
15567,3.1096403,1.3169569,42.957461
18217,3.5515375,1.5440038,77.455012
16021,3.8127707,1.657483,58.114253
50693,2.6414088,1.1128603,144.49666
9367,3.0012345,1.2590163,75.997826
41535,3.194453,1.3638457,134.12559
42425,2.9191915,1.2655548,105.09065
38856,3.8122817,1.6589845,144.74522
34622,3.6689538,1.5924598,103.1696
32844,3.1661819,1.3606117,127.07923
16651,3.8128936,1.6583125,99.697392
37981,3.2584925,1.3901117,136.97006
13736,3.0946802,1.3078779,129.57367
31871,3.2929194,1.4310479,74.570708
6838,2.6185199,1.1351286,102.10613
40846,2.6535183,1.141842,77.413591
6211,3.147078,1.3243642,90.626054
7586,2.4430163,1.0599387,128.33524
46734,3.4636663,1.5010389,55.399529
8256,3.2462505,1.4128333,82.644552
7845,2.6677151,1.1554033,143.94027
3997,2.9186341,1.2569947,73.620555
3385,3.5474796,1.5407802,103.79469
18088,2.849406,1.1976638,86.188412
3648,3.046944,1.2847156,86.819492
35498,3.5270576,1.5249743,106.19481
8459,2.7889583,1.1838817,82.752157
1093,3.0414846,1.3207463,144.41183
50800,3.9780964,1.7315656,120.04995
47344,3.0593434,1.330964,127.23373
570,3.2722631,1.3825896,148.64812
19698,3.2051025,1.3907818,140.03171
45023,3.9639082,1.7253479,110.11337
43042,3.1888092,1.3823947,70.721796
10046,2.3533375,1.0131337,106.8287
33429,2.7998903,1.1830009,149.69705
19308,3.2631237,1.4200374,113.37231
30673,2.8996529,1.259,83.352384
48173,3.6336478,1.5776445,147.65253
16706,2.2608073,0.97921585,113.71601
21463,3.2612766,1.4037735,65.248916
44004,3.2620311,1.3791128,37.012393
36976,3.6075336,1.5594296,141.90665
5081,2.9809856,1.2956073,69.179126
37566,3.565085,1.5404361,147.81718
11476,2.8512037,1.2290038,129.87972
2824,2.2511775,0.97950429,139.117
45566,3.5881187,1.5610731,98.007528
37607,3.1376521,1.3604642,135.06488
37892,2.9896025,1.2927017,61.132445
38338,2.3846973,1.0339927,87.805462
45266,3.703664,1.6114583,141.01257
31771,2.9132384,1.2278385,106.8303
12037,3.0336925,1.2969924,138.0015
19690,3.4939132,1.5200976,82.642472
34109,2.2484186,0.97795969,119.92069
37628,2.8385424,1.1993871,102.04078
7604,3.6325629,1.5802717,149.23073
20633,2.9974689,1.2668357,142.48521
25225,3.2143078,1.3947161,121.9394
33315,3.3745573,1.4683203,110.77647
38275,2.2215481,0.96655683,36.289884
25049,3.2672844,1.4132407,106.19771
48565,2.6918569,1.1511759,80.447533
41563,3.641375,1.5813688,114.57772
42960,3.2050906,1.376667,79.485317
48510,3.0367366,1.2931817,138.18421
