coinc_event_id,far,snr,mass,mchirp
148576,0.0222195609581,7.48750451667,3.90638911724,1.53834998608
113722,0.301168315341,6.56063423414,3.63200604916,1.39449691772
45345,0.0301857068816,7.3130341004,2.56907892227,1.10363745689
50927,1.32062188433,5.79328472414,2.69955396652,1.12860929966
19553,0.0120532606175,6.85801604006,2.11381697655,0.919559657574
118013,0.149310244784,6.81565758365,3.79233205318,1.41981363297
153572,1.26413279525e-15,16.077134814,3.74034285545,1.61791491508
131845,0.0437369864313,6.98729084559,3.84393596649,1.50182533264
75598,0.100114443266,6.82918315878,3.07217001915,1.29153490067
69313,0.022714853467,7.70430932421,3.27556705475,1.29690515995
127783,0.720432168596,6.34069958018,3.7279728651,1.47891151905
106135,0.131853204975,6.56338697355,3.10989105701,1.35202014446
58324,0.461134719729,6.46395281333,2.78165698051,1.17072987556
96490,0.0622245733533,6.53154789265,3.04851603508,1.32617926598
22820,0.406574428633,6.42850176234,2.33055400848,1.01235473156
144999,0.144563774625,7.20838704349,3.99999988079,1.73984408379
44588,2.16489948299e-07,9.6262352715,2.52376902103,1.09737288952
64198,2.00241170722e-05,8.64959564756,2.48802101612,1.07029056549
41783,0.119990281922,6.53652365325,2.54928696156,1.10288023949
106841,1.47969669533e-06,9.43120126001,3.17977702618,1.33027935028
69654,0.610449535409,6.45059990075,3.30786579847,1.28756093979
70396,0.399710619154,6.65562539143,2.82564902306,1.22853589058
110845,0.0354101231204,7.15283589604,3.38812506199,1.34769976139
109802,0.0163376124024,6.77579001036,3.49021100998,1.3921867609
57137,0.959888673415,6.39451241423,2.54404103756,1.10618174076
31775,0.399742637159,6.74114451279,2.45887601376,1.06144416332
85769,0.999433689376,6.28078839008,2.82373607159,1.22770380974
139868,0.462880689709,6.6398240024,3.90367603302,1.69679510593
130657,0.0217605014201,7.18622418343,3.58432710171,1.48179638386
54476,0.205329932182,6.55709126446,2.53748393059,1.1033321619
154459,1.3162348595,6.21983766102,3.93114197254,1.70872223377
148021,0.129180779374,6.60331666052,3.78970313072,1.58203613758
101185,0.0318752641948,7.33317225909,3.21741890907,1.33787643909
35943,0.0845849708434,6.88656270059,2.06742697954,0.895806610584
129985,9.30667994208e-14,11.5118849486,3.36367499828,1.41756880283
74748,0.291490841131,7.03889149315,3.01537013054,1.2249481678
81187,0.177989758447,6.75849741088,2.83929407597,1.23446261883
60748,2.02285191244,6.61030448145,2.57019293308,1.118470788
83716,1.00039023853,6.43305938986,3.26478660107,1.27690827847
33955,0.620603848243,6.25475268791,2.22371709347,0.966986358166
64647,1.16851020702,6.26382384328,2.59668695927,1.12905681133
31209,0.185649373563,6.7654024038,2.31989705563,1.00331795216
18250,0.253123929562,6.12767056816,2.1253939867,0.924255311489
68931,1.8943379608,5.98666818711,2.94438493252,1.2080848217
135966,0.484446274379,6.00883384049,3.93349099159,1.58649861813
91367,0.00387126672963,7.73376726972,2.95057797432,1.28281092644
87928,0.239030211352,7.08057760448,3.15952914953,1.25701797009
146527,2.94137337499,6.20983953087,3.7146089077,1.57820165157
56948,0.319501233158,6.8072848983,2.66647773981,1.10617029667
98997,3.35908357187,6.24134330688,3.30370807648,1.32810747623
131295,1.39761055328e-11,10.6947668473,3.635160923,1.51704919338
148432,0.493084439297,6.1369925881,3.99969291687,1.73849475384
115611,0.000395433925991,7.87997876297,3.51253509521,1.45832514763
132901,0.0960868061082,6.83495582229,3.65102291107,1.48507142067
